No	music_no	member_no	rating
1210	184	4	가사가 정말 좋네요.
1211	184	29	
1212	184	32	
1213	184	10	
1214	184	34	여러분 듣지 마세요 한번 들으면 헤어나올수가 없어요..;
1215	184	16	
1216	184	12	
1217	184	39	너무 슬프다
1218	184	40	가수 음색이 진짜 최고임.
1219	185	6	
1220	185	22	오늘만 7번째 듣는중
1221	185	23	명곡이 하나 생겨나네요
1222	185	27	
1223	185	17	
1224	185	8	
1225	185	38	
1226	185	20	
1227	185	26	
1228	185	33	어느 시간 때든 감성이 살아나는 듯
1229	186	6	기능하면서 듣기 좋다
1230	186	13	
1231	186	25	
1232	186	27	
1233	186	31	
1234	186	26	
1235	187	20	지나가다 들었는데 노래 끝날 때까지 가만히 서서 들음
1236	187	32	
1237	187	3	
1238	187	28	
1239	187	14	원하는게 없을 정도로 좋다
1240	188	4	
1241	188	24	천사가 부르는줄
1242	188	40	
1243	188	3	우울해진다
1244	188	13	
1245	188	34	
1246	188	30	이거 무한반복 듣는중 ㅋㅋ 노래 진짜 좋네
1247	189	13	
1248	190	6	
1249	190	1	
1250	190	38	
1251	190	36	
1252	190	11	
1253	190	10	
1254	190	23	
1255	190	2	
1256	191	29	우리반에서 매일 듣는중
1257	191	14	
1258	191	2	들은지 한참됐는데 아직도 듣는중ㅎㅎ
1259	191	5	
1260	191	19	와 노래 너무 좋아서 놀람
1261	192	20	노래 자체가 예쁨
1262	192	12	셤 공부하면서 들었는데 공부하고 나니까 머릿속에 남는건 이 노래뿐..
1263	192	38	내 눈에서 왜 땀이…
1264	192	11	노래방에서 부르기 좋은 노래
1265	193	12	
1266	193	23	발라드의 정석이다
1267	193	31	
1268	193	37	
1269	193	36	
1270	193	11	어디서 많이 들어본 노래
1271	193	7	
1272	194	4	
1273	194	16	
1274	194	37	
1275	194	32	
1276	194	9	
1277	194	34	
1278	195	15	이정도 들었으면 질릴 만 한데 아직도 안질리고 들을때마다 새로운 노래
1279	195	16	
1280	195	10	
1281	195	9	
1282	195	1	
1283	195	38	윗분 정상입니다.
1284	195	17	
1285	196	9	
1286	196	15	출퇴근 길에 들으며 힘내요
1287	196	38	
1288	197	35	
1289	197	23	
1290	197	15	
1291	197	30	이 가수 노래중에서 처음으로 좋다고 느꼈음
1292	197	4	
1293	197	13	
1294	197	9	이거만한 노래가 또 있을까.. 잘듣고 있어요~
1295	197	25	Fan fron france.
1296	197	16	목소리 진짜 좋다
1297	198	6	
1298	198	5	
1299	198	28	우울할 때 들으면 딱일 노래
1300	198	27	2명이 듣다 한명이 죽어도 모를 이 노래
1301	198	16	잔잔하면서 듣기 좋은 음색이다
1302	198	8	
1303	198	35	
1304	199	9	
1305	199	26	
1306	199	20	
1307	199	16	
1308	199	36	지하철안에서 듣다가 나도 모르게 흥얼거려서 쪽팔렸음..ㅋㅋ
1309	199	32	
1310	199	17	
1311	199	40	퇴근하면서 매일듣는노래
1312	199	24	역대급이야
1313	199	5	
1314	199	30	이거보다 좋을 수가 없다!
1315	199	8	목소리 굿
1316	199	4	
1317	199	12	
1318	200	12	
1319	200	39	
1320	200	13	
1321	200	32	
1322	200	2	와 진짜 사랑해요
1323	200	22	
1324	200	10	
1325	200	37	
1326	200	23	
1327	200	21	
1328	201	26	
1329	201	9	
1330	201	11	
1331	201	39	
1332	201	20	
1333	201	29	
1334	202	19	
1335	202	9	
1336	202	17	우연히 들었는데 진짜 좋긴하다 어느새 머릿속에 가끔씩 자동재생됨 ㅋㅋ
1337	202	29	놀때 틀면 최고일거같아요
1338	203	18	
1339	203	13	
1340	203	7	이번년도 최고의 곡
1341	203	20	
1342	203	38	
1343	204	26	달달하다
1344	204	36	
1345	204	21	
1346	204	1	피곤하다
1347	204	23	
1348	205	33	점점 노래가 좋아지는거같아요
1349	205	2	
1350	205	21	
1351	205	34	
1352	205	11	
1353	205	1	
1354	205	8	
1355	206	15	
1356	206	30	
1357	206	2	
1358	206	22	
1359	206	27	
1360	206	3	
1361	206	9	
1362	206	21	
1363	206	25	
1364	206	14	
1365	206	35	
1366	206	13	
1367	207	6	
1368	207	8	
1369	207	19	
1370	207	29	
1371	207	33	분위기 잡기 좋은 곡
1372	207	31	
1373	207	26	
1374	208	14	
1375	208	15	이 가수 팬도 아닌데 이 노래 들을 때마다 너무 좋은 것 같다
1376	208	12	
1377	208	37	
1378	208	28	
1379	208	5	
1380	208	6	
1381	208	4	
1382	208	26	
1383	208	16	
1384	209	10	
1385	209	27	희망을 가지게된다
1386	209	4	
1387	209	14	
1388	209	34	
1389	209	28	시원하다
1390	209	32	
1391	209	13	
1392	210	32	항상 변함없이 명곡을 내주는게 너무 좋다
1393	210	15	어느 순간 중얼거리고 있다
1394	210	31	지금까지 몇번을 들었는지도 모르겠다. 계속 듣게됨
1395	210	23	
1396	210	18	
1397	210	35	
1398	210	2	
1399	210	10	
1400	211	21	
1401	211	6	
1402	211	26	
1403	211	5	
1404	211	3	
1405	211	25	피시방에서 게임 안하고 이 노래 들었다
1406	212	38	내 취향은 아닌 듯 하네요
1407	212	6	처음엔 그냥 그랬는데 계쏙 흥얼흥얼 거리게 되네
1408	212	29	
1409	212	23	듣기 너무 좋아요
1410	212	35	이집트인 입니다. 
1411	213	27	그리울때 들으면 와닿을듯
1412	213	7	
1413	213	35	노래방에서 좀 안 불렀으면 좋겠다
1414	213	10	가수도 가수지만 이번에는 레전드인듯
1415	213	6	
1416	213	33	
1417	213	29	가수 음색이랑 딱 맞춰서 나온 노래 같다
1418	214	38	화가난다
1419	214	37	
1420	214	5	
1421	214	18	
1422	214	25	여름에 듣기 좋은 노래
1423	215	14	
1424	215	29	지금 계절과 딱 어울리는 노래다
1425	215	15	왜 흥한건지 모르겠다
1426	215	39	
1427	215	10	
1428	215	23	
1429	215	2	
1430	215	38	
1431	216	34	
1432	216	35	이분 노래별로
1433	216	13	
1434	216	28	다음곡도 기대해요
1435	216	38	
1436	216	33	
1437	216	32	
1438	217	35	
1439	217	9	
1440	217	23	
1441	217	40	외모\에다 목소리에다 노래실력까지.. 이건 반칙아닙니까
1442	217	3	
1443	217	7	
1444	217	4	
1445	217	25	존경합니다 그리고 사랑합니다
1446	217	11	
1447	218	18	
1448	218	40	집가는 길에 한번 듣고 한참 찾았어요
1449	218	39	노래방가서 부르기 좋을거 같네요
1450	218	22	
1451	218	4	
1452	219	32	
1453	219	18	
1454	219	15	
1455	219	27	
1456	219	21	
1457	219	29	
1458	219	25	
1459	219	23	친구들사이에서 유명한노래
1460	219	39	와 진짜 너무좋아요 이노래..bb
1461	220	4	
1462	220	25	뭔가 먹고싶어진다
1463	220	15	
1464	220	28	
1465	220	35	
1466	220	13	한번듣고 반해버림
1467	220	29	
1468	221	1	머리 한대 맞은거 같아요
1469	221	22	
1470	221	34	
1471	221	11	
1472	221	39	오늘부터 입덕했습니다..
1473	222	13	
1474	222	37	
1475	223	38	
1476	223	13	반주가 너무 엉성해요
1477	223	26	
1478	223	11	
1479	223	9	
1480	223	15	
1481	224	2	
1482	224	39	이거 들으면 공부 못함
1483	224	22	노래가 부드럽다
1484	224	33	
1485	224	12	확실한 본인들의 색깔이 있어서 좋은듯
1486	224	8	
1487	225	7	
1488	225	39	내 취향은 아닌듯
1489	225	20	
1490	225	40	
1491	225	16	이 노래를 이제 알다니… 너무 후회된다
1492	226	34	역시 가요계의 레전드
1493	226	36	
1494	226	31	이 노래만 들으면 어릴 때 생각이 나네
1495	226	11	
1496	226	14	아침 버스에서 이어폰 끼고 듣는 노래
1497	226	10	
1498	226	35	
1499	226	25	
1500	226	3	
1501	227	19	
1502	227	26	클럽에서 틀 것 같이 신나는 노래
1503	227	12	
1504	227	27	
1505	227	4	
1506	227	40	새벽감성 충만해지는 노래
1507	227	11	
1508	227	13	
1509	228	40	난 아직까지 계속 무한반복중 ㅋㅋ
1510	228	19	
1511	228	8	
1512	228	35	
1513	228	10	
1514	228	30	
1515	228	9	가사가 귀에 안들어온다
1516	228	20	
1517	229	31	
1518	229	8	뭔가 부족하다
1519	229	28	외롭다
1520	230	21	사귀던애랑 헤어졌는데 위로가 되네요
1521	230	18	졸릴 때 이 노래 들으면 잠 다 깸
1522	230	13	가슴이 먹먹하네요
1523	230	14	아직도 듣는 명곡.. 너무 좋다
1524	230	12	
1525	230	23	길가다가 이 노래 나오면 자동으로 따라부름 ㅋㅋ
1526	230	16	
1527	230	27	
1528	230	29	
1529	230	35	노래 최고다
1530	230	32	최고 
1531	231	16	
1532	231	19	
1533	231	13	이 노래만 듣고 있어요
1534	231	32	
1535	231	2	
1536	231	37	
1537	231	3	
1538	231	38	
1539	231	29	우연히 알게된 노래, 한번 듣고 계속 듣게되는..
1540	232	18	요즘 학원갖다오면 맨날 이 노래만 들어요
1541	232	23	
1542	232	31	
1543	232	26	
1544	232	7	록음악 최고
1545	232	6	날 붇잡는 거 같다
1546	232	25	비오는 날 잘 어울리는 곡
1547	232	20	
1548	233	32	부르는게 어색함
1549	233	2	
1550	233	10	
1551	233	18	
1552	233	7	
1553	233	27	밤마다 듣는다
1554	233	34	
1555	234	8	
1556	234	35	
1557	234	2	
1558	234	13	너무 신나요
1559	234	7	노래 듣는 순간 얼어붙었다
1560	234	39	이런 컨셉도 장난 아니네..
1561	234	29	
1562	234	21	
1563	234	1	
1564	234	3	잔잔해서 좋아
1565	235	24	목소리 너무 좋아
1566	235	33	노래가 참 좋아요 감사합니다
1567	235	10	
1568	235	1	댄스가 생각나는 곡
1569	235	37	
1570	235	19	
1571	235	28	
1572	235	14	
1573	235	22	
1574	236	21	슬프다
1575	236	3	
1576	236	8	
1577	236	15	뭔데 나도 모르게 눈물이 흐르지
1578	236	16	
1579	236	36	
1580	237	10	
1581	237	6	
1582	237	34	
1583	238	37	
1584	238	29	중독된다
1585	238	7	
1586	239	18	들어본 노래중 젤 좋은듯
1587	239	23	
1588	239	16	
1589	239	40	
1590	239	3	
1591	239	11	
1592	239	17	
1593	240	19	
1594	240	27	
1595	240	35	
1596	240	26	
1597	240	29	
1598	240	31	
1599	241	12	
1600	241	22	절 위로해주는거 같아요
1601	241	31	
1602	242	35	끝까지 안지루한 노래
1603	242	8	
1604	242	3	
1605	242	33	
1606	242	10	
1607	242	28	
1608	242	23	노래가 좋아요
1609	242	1	oh my godness…
1610	242	7	
1611	243	3	더 이상 바랄게 없다.
1612	243	38	백번들은듯…
1613	243	7	
1614	243	37	
1615	243	14	
1616	243	31	
1617	243	21	
1618	244	35	
1619	244	17	
1620	244	29	
1621	244	7	
1622	244	16	노래 너무 좋네요
1623	244	31	
1624	244	12	
1625	244	22	진짜 이 노래 라이브로도 듣고 싶다
1626	244	37	
1627	245	20	
1628	245	29	언제 들어도 좋다 ㅎㅎ
1629	245	8	
1630	245	25	
1631	245	10	진짜 요즘노래 같음. 완전 트랜디하네
1632	246	11	
1633	246	14	
1634	246	16	
1635	246	22	
1636	246	17	
1637	246	15	10점 만점에 10점
1638	246	9	1일5곡
1639	246	8	
1640	246	37	
1641	246	31	
1642	247	35	
1643	247	9	
1644	247	36	
1645	247	38	뭔가 좀 부족한듯?
1646	247	18	겨울에 듣기 좋다
1647	247	21	슬플때 듣기 좋은 노래
1648	247	19	듣다가 울었어요
1649	248	22	하이라이트에서 터졌다
1650	248	23	
1651	248	3	듣기만 해도 신이 나는 곡
1652	249	30	여름에 들으면 2배의 감동
1653	249	26	
1654	249	17	감성에 빠진다
1655	249	33	
1656	249	9	
1657	250	31	
1658	250	29	
1659	250	16	
1660	250	14	Her voice is wonderful! <3
1661	250	27	OMG 
1662	250	40	
1663	251	11	
1664	251	24	
1665	251	29	
1666	251	2	감미로운 목소리
1667	251	9	
1668	251	32	올해의 대표곡이 되지 않을까 예상
1669	251	35	
1670	251	36	
1671	251	5	노래 너무 잘듣고 있어요 매일매일 들어도 새롭고 너무 좋아요
1672	251	3	오늘부터 이노래만 듣는다
1673	252	39	
1674	252	3	
1675	252	31	
1676	252	25	어디서 들어본듯?
1677	252	2	가사 하나하나가 마음에 와닫는 그런 노래
1678	252	11	
1679	252	23	상큼한 과일을 베어 무는 느낌 톡 쏘는 느낌
1680	252	38	
1681	252	10	
1682	252	7	
1683	252	17	랩부분 너무 좋아
1684	252	18	
1685	253	21	
1686	253	9	
1687	253	15	
1688	253	20	몇 년이 지나도 띵곡
1689	253	30	
1690	253	38	
1691	253	37	감사합니다!!
1692	253	12	
1693	253	24	
1694	253	22	
1695	253	32	
1696	254	22	내가 마음에 담아두고 있었던 말들을 이렇게 불러주신다니.. 감사합니다
1697	254	9	노래가 위로되네요
1698	254	36	
1699	254	5	
1700	254	39	
1701	254	34	
1702	254	2	
1703	254	30	화음이 소름돋네;
1704	254	10	
1705	255	15	
1706	255	40	사이다를 마신듯한 청량감
1707	255	37	
1708	255	34	
1709	255	9	자신의 이야기라서 더 마음에 와닫네
1710	255	4	RNB와 모던의 조화로운 느낌
1711	255	5	이번곡 너무좋다
1712	255	11	
1713	256	22	죄지은거 같다
1714	256	1	
1715	256	23	
1716	256	30	
1717	257	30	
1718	257	2	불러도불러도 질리지 않네요
1719	257	1	
1720	257	12	오우야
1721	257	22	
1722	257	25	
1723	258	39	들어도 들어도 질리지 않는 노래다
1724	258	9	
1725	258	28	진짜 취적이다..
1726	258	19	
1727	258	10	나를 감성 풍부해지게 만든 노래
1728	258	37	
1729	258	20	
1730	259	37	
1731	259	28	
1732	259	17	숨 못 쉴정도로 긴박하게 신나난다
1733	259	25	
1734	259	10	
1735	259	13	
1736	259	27	
1737	260	25	
1738	260	16	재미가 없어요
1739	260	4	
1740	260	17	창법이 독특하네요
1741	260	40	
1742	261	27	
1743	261	4	쓸쓸해진다
1744	261	28	
1745	261	32	
1746	261	6	
1747	261	22	
1748	261	9	가슴이 먹먹하다
1749	261	25	간주부터 소름돋았다
1750	261	16	
1751	262	7	
1752	262	20	노래 안질림
1753	262	12	
1754	262	5	유행을 못따라간다
1755	262	25	들으면 들을수록 질리지 않고 더 좋아짐
1756	262	16	헤어나오기 힘들다
1757	262	3	Perfect.
1758	262	13	
1759	262	26	진짜 설레는 노래다..
1760	262	38	
1761	262	4	우리 가족 전부 좋아하는 노래
1762	263	24	최악의 노래
1763	263	9	
1764	263	14	이곡 따라하지 마세요 목 나갑니다
1765	263	33	
1766	264	10	
1767	264	20	
1768	264	25	
1769	264	15	
1770	264	27	고음부분 아무도 못부를듯
1771	264	38	
1772	264	37	
1773	265	18	
1774	265	37	
1775	265	22	
1776	265	40	노래는 좋은데 가수가 별로다
1777	265	4	
1778	265	8	
1779	265	2	힘빠졌을때 들으면 힘이 나는 노래
1780	265	23	나의 노래 수준을 높여준 노래
1781	265	30	
1782	265	11	
1783	265	38	
1784	265	14	
1785	266	13	
1786	266	31	여친한테 불러주고 싶어요
1787	266	27	
1788	266	30	
1789	266	4	
1790	266	35	
1791	267	16	
1792	267	27	
1793	267	6	길가다 몇번 들어봤는데 너무 좋아요
1794	267	13	
1795	267	3	
1796	267	33	
1797	267	32	뭐든 잘 될 거야라고 긍정적으로 만들어 주는것 같다
1798	267	23	
1799	268	35	시험기간에 들으면 안되는 노래
1800	268	28	목소리가 너무 좋으심
1801	268	2	
1802	268	12	차트 역주행 가즈아
1803	268	32	
1804	268	19	분위기 좋다
1805	268	6	이거 학교에서 애들이 부르고 다니던데
1806	269	3	가사에 빠진다
1807	269	40	이 가수 노래는 다좋아 무슨..
1808	269	31	
1809	269	2	간이 딱 맞는 노래
1810	269	23	
1811	269	7	
1812	269	19	
1813	269	16	
1814	269	15	
1815	269	33	자기 전에 듣기 좋은 노래
1816	270	13	
1817	270	4	
1818	270	8	
1819	270	3	
1820	270	33	이분 노래 너무 좋으심
1821	270	16	Anyone 2018??? <3
1822	271	30	
1823	271	14	우리반 댄스곡
1824	271	11	
1825	271	16	좋다고 하도 말하고 다녀서 말하기도 지침
1826	271	1	
1827	271	13	
1828	271	28	
1829	271	2	
1830	272	23	슬프다ㅠㅠ
1831	272	40	
1832	272	10	
1833	272	31	
1834	272	37	
1835	272	15	
1836	272	6	
1837	272	12	
1838	273	37	
1839	273	30	
1840	273	17	
1841	273	13	행복하다
1842	274	29	
1843	274	27	
1844	274	21	매일 산책하면서 들어요
1845	274	40	잘불러서 소름돋았어요
1846	274	24	
1847	275	18	
1848	275	5	
1849	275	38	게임할때 들으면서 합니다
1850	275	23	계속 듣고 있네요
1851	275	17	최고
1852	275	29	진짜 중독성있어요
1853	275	31	
1854	275	4	한국인 찾습니다~!
1855	275	32	
1856	276	4	
1857	276	16	
1858	276	8	다 완벽한 노래임
1859	276	36	
1860	276	12	
1861	276	18	헤어졌을때 들으면 와닿을듯
1862	276	15	밤에 놀때 틀면 신남
1863	277	26	
1864	277	35	
1865	277	40	
1866	278	27	
1867	278	17	
1868	278	3	
1869	278	40	내 최초의 인생 곡
1870	278	2	
1871	279	31	
1872	279	28	계속 듣고 싶다
1873	279	3	
1874	279	26	
1875	279	6	호불호가 꽤 갈릴듯
1876	279	35	이게 노래가 왜 인기가 없는지 모르겠다
1877	279	38	
1878	279	2	머릿속에서 계속 생각나..
1879	279	7	뻔하지만 중독성 있는 노래
1880	280	17	
1881	280	31	
1882	280	18	My favorite Song!
1883	280	1	
1884	280	22	대박…
1885	281	21	내 최애곡이 하나 늘었다
1886	281	32	
1887	281	8	
1888	281	28	
1889	281	14	
1890	281	3	
1891	281	9	어떻게 이래.. 음악도 좋고 목소리도 좋고 가사도 이쁘고…
1892	281	13	
1893	282	7	
1894	282	24	
1895	282	40	
1896	282	35	
1897	282	15	
1898	282	31	
1899	282	9	마음이 차분해져요
1900	282	19	
1901	282	36	
1902	283	10	
1903	283	32	그 시대로 돌아간 느낌
1904	283	36	
1905	283	13	
1906	283	33	
1907	283	37	내 최애곡
1908	283	25	
1909	283	24	
1910	284	35	공부할때 들으면 좋다
1911	284	16	
1912	284	5	목소리 너무 좋은데?
1913	284	38	
1914	284	10	
1915	284	8	
1916	284	22	혼자있고싶어진다
1917	284	23	이분 노래가 다좋아요
1918	284	34	
1919	284	19	
1920	284	2	
1921	285	4	
1922	285	8	
1923	285	32	너무 높지만 부르는 노래
1924	285	13	
1925	285	19	
1926	285	7	
1927	285	34	
1928	285	28	
1929	286	32	
1930	286	18	
1931	286	21	
1932	286	20	
1933	287	1	
1934	287	7	
1935	287	35	
1936	287	21	음악 퀄리티가 확실히 좋음
1937	287	31	
1938	287	27	
1939	287	22	이노래 무한반복 중
1940	287	16	
1941	288	12	
1942	288	29	
1943	288	36	
1944	288	11	
1945	288	28	
1946	288	14	
1947	289	25	말이 안나오는 노래
1948	289	23	가수분 너무멋져요
1949	289	31	
1950	289	9	스밍을 부르는 노래
1951	289	17	
1952	289	3	
1953	290	27	
1954	290	34	
1955	290	8	목소리 너무 좋아요
1956	290	11	
1957	290	17	와 작사 작곡도 직접 했네.. 못하는게 뭐야
1958	290	13	꺄아아아
1959	290	40	
1960	290	10	
1961	290	29	
1962	290	39	
1963	290	35	
1964	290	18	가사가 좋다
1965	290	28	
1966	290	2	
1967	291	39	그립다
1968	291	1	
1969	291	18	
1970	291	9	
1971	291	13	
1972	291	2	
1973	291	29	
1974	292	1	
1975	292	5	
1976	292	30	암만봐도 너무 좋다. 노래방가면 꼭 부르는 곡중에 하나
1977	292	12	I like this song. <3
1978	292	34	목소리가 사기적인 노래
1979	292	13	
1980	292	9	
1981	293	1	
1982	293	33	
1983	293	27	
1984	293	5	잘때들으면 좋을듯
1985	293	19	좋긴한데 내취향은 아닌듯
1986	293	16	부럽다
1987	293	15	비트가 사기야
1988	293	14	
1989	293	30	
1990	294	2	
1991	294	24	
1992	294	19	
1993	294	3	
1994	294	26	벌써 공부하면서 3시간째 듣는중…
1995	294	28	크…
1996	295	29	
1997	295	22	
1998	295	21	
1999	295	23	졸릴때들으면 확 깨요
2000	295	11	
2001	295	33	노래 좋다
2002	295	6	
2003	295	5	
2004	295	31	
2005	296	11	
2006	296	29	나도 모르게 찾아서 듣게된다 너무 좋아
2007	296	40	공부하면서 들으면 좋을거 같다
2008	296	34	
2009	296	30	음색깡패
2010	296	4	
2011	297	28	
2012	297	19	
2013	297	11	
2014	297	14	
2015	297	13	
2016	297	37	
2017	297	38	
2018	297	40	
2019	298	24	
2020	298	12	
2021	298	5	
2022	298	30	잔잔하면서 듣기 좋은 목소리
2023	298	9	
2024	298	14	
2025	298	34	연애하고 싶어지는 노래인듯
2026	298	33	
2027	298	15	
2028	298	31	
2029	299	35	
2030	299	34	
2031	299	12	
2032	299	24	
2033	299	1	걸크러쉬
2034	300	19	
2035	300	11	마치 내가 저기에 있는 느낌;
2036	300	26	취향저격
2037	300	37	
2038	300	1	노래 너무 좋다..
2039	300	22	망했다.. 내일 시험인데..
2040	301	15	
2041	301	31	
2042	301	35	
2043	301	7	
2044	302	22	
2045	302	23	야하다
2046	302	31	
2047	303	23	이 시대사람들은 이해못하는 노래
2048	303	5	
2049	303	26	
2050	303	10	
2051	303	9	
2052	303	16	
2053	303	38	
2054	303	33	
2055	303	31	
2056	303	29	길가다 들어본 노래다
2057	304	38	
2058	304	36	
2059	304	15	
2060	304	14	
2061	304	34	
2062	304	35	와.. 이번껀 미쳤다
2063	304	22	
2064	304	13	
2065	304	9	
2066	305	7	이 가수 노래 다 좋아요 다른곡도 들어보셈
2067	305	16	
2068	305	35	짜증이난다
2069	305	32	
2070	305	24	
2071	305	12	
2072	305	39	화날때 들으면 진정될듯
2073	305	23	
2074	305	22	다시 들어도 명곡
2075	306	12	
2076	306	33	중얼거리다가도 제목을 잊어 못찾았었는데
2077	306	15	
2078	306	34	
2079	306	13	따뜻함을 느낄수 있는 노래
2080	306	6	랩 가사가 묵직함
2081	306	39	
2082	307	11	
2083	307	32	이건 너무 좋은 것 아닙니까..
2084	307	40	
2085	307	36	
2086	307	12	마트 전용 노래
2087	307	22	
2088	307	17	
2089	307	18	
2090	307	20	
2091	308	13	
2092	308	3	
2093	308	4	제가 웬만해선 댓글 안다는데 이노래가 댓글을 달게 만드네요
2094	308	14	
2095	308	36	사랑스러운 노래
2096	308	25	멜로디가 흥겹네요
2097	308	33	
2098	308	22	
2099	308	35	들으면 들을수록 감미롭다
2100	308	20	
2101	308	2	
2102	308	24	
2103	308	37	
2104	308	10	
2105	309	10	ㅠㅠ..
2106	309	25	한편의 동화 같은, 궁금해서 자꾸만 넘겨보고 싶다
2107	309	14	
2108	309	26	고백할때 부르기 좋을거같아요
2109	309	22	
2110	309	40	
2111	309	9	
2112	309	8	안좋을때 들으면 더 안좋은 노래
2113	309	21	
2114	310	31	
2115	310	38	
2116	310	14	
2117	310	23	
2118	310	2	
2119	311	12	시간이 지나서도 계속 듣게 될 노래
2120	311	9	
2121	311	7	
2122	311	11	
2123	311	23	
2124	311	2	
2125	311	24	
2126	312	18	
2127	312	4	봄만 되면 생각이 난다
2128	312	22	
2129	312	10	
2130	313	17	
2131	313	11	
2132	313	12	
2133	313	33	정신이 이상해지는거 같다
2134	313	31	
2135	313	5	친구네 집가서 듣던노래
2136	313	32	
2137	314	40	
2138	314	1	합법적 마약
2139	314	35	그저 감탄만 나오는 노래
2140	314	10	
2141	314	37	
2142	314	20	사랑해요!!!
2143	314	12	이거 노래방에서 부르면 인기많을듯
2144	315	22	
2145	315	14	
2146	315	21	오늘부터 이노래만 들어야겠다
2147	315	3	목소리가 매력적임
2148	315	15	
2149	315	37	
2150	315	18	
2151	315	40	목소리랑 가사가 잘 맞는다
2152	315	26	
2153	315	31	
2154	315	8	내 친구 오늘 이노래 수업시간에 흥얼거리다 쌤한테 혼남 ㅋㅋㅋ
2155	317	36	
2156	317	38	모르는 사람이 많은 꿀노래
2157	317	26	
2158	317	20	이 노래만 들어야겠다
2159	317	9	
2160	318	27	
2161	318	22	
2162	318	7	
2163	318	23	봄에듣기좋은노래
2164	318	1	
2165	318	14	
2166	318	24	반주랑 목소리가 잘맞는듯
2167	318	33	
2168	318	15	
2169	319	14	
2170	319	9	와 소름 돋았다
2171	319	20	
2172	319	30	노래방 가면 제일먼저 이거 예약함
2173	319	35	이노래는 몇년가도 잊혀지지않을거 같아요
2174	320	6	
2175	320	12	ㄹㅇ 띵곡
2176	320	27	역시 기대이상이네
2177	320	22	
