No	music_no	member_no	date	amount
1976	51	8	2018-06-03	4
1977	144	8	2018-07-20	8
1978	252	8	2019-05-25	5
1979	264	8	2019-05-04	5
1980	245	8	2019-03-17	10
1981	66	8	2018-10-09	6
1982	100	8	2018-09-16	3
1983	280	8	2018-10-03	7
1984	215	8	2018-10-03	8
1985	311	8	2018-12-12	8
1986	190	8	2018-09-16	6
1987	130	8	2019-01-28	4
1988	116	8	2018-08-20	10
1989	183	8	2018-11-08	5
1990	242	8	2018-06-06	10
1991	160	8	2019-02-03	3
1992	114	8	2018-07-16	2
1993	139	8	2018-06-07	3
1994	55	8	2018-10-13	9
1995	210	8	2018-12-04	4
1996	91	8	2018-10-16	6
1997	258	8	2019-02-12	10
1998	279	8	2018-10-22	9
1999	92	8	2018-11-08	2
2000	192	8	2018-10-14	10
2001	96	8	2018-11-28	6
2002	257	8	2019-01-30	7
2003	188	8	2019-01-21	5
2004	95	8	2018-05-29	5
2005	249	8	2019-01-30	5
2006	40	8	2018-09-02	1
2007	320	8	2018-08-12	2
2008	263	8	2018-07-22	4
2009	174	8	2018-11-11	4
2010	178	8	2018-10-10	6
2011	155	8	2018-11-22	4
2012	227	8	2019-04-05	5
2013	1	8	2019-04-22	9
2014	140	8	2018-12-04	2
2015	145	8	2018-12-12	4
2016	218	8	2018-07-02	3
2017	63	8	2019-04-01	1
2018	206	8	2019-04-03	6
2019	161	8	2018-05-25	8
2020	6	8	2019-03-19	3
2021	189	8	2019-02-06	10
2022	78	8	2018-12-05	1
2023	137	8	2018-06-17	9
2024	200	8	2018-09-08	8
2025	212	8	2018-06-01	6
2026	4	8	2018-08-14	10
2027	250	8	2018-07-15	1
2028	35	8	2019-03-06	10
2029	269	8	2019-04-02	1
2030	278	8	2019-03-28	1
2031	80	8	2018-10-23	6
2032	37	9	2018-12-18	4
2033	274	9	2019-02-22	7
2034	121	9	2018-09-07	3
2035	172	9	2018-07-28	10
2036	33	9	2018-09-05	6
2037	142	9	2018-11-07	2
2038	83	9	2019-05-03	8
2039	129	9	2018-07-10	2
2040	42	9	2018-09-24	5
2041	259	9	2018-09-21	5
2042	149	9	2018-09-21	4
2043	122	9	2018-10-18	2
2044	241	9	2019-01-14	4
2045	276	9	2019-05-09	4
2046	233	9	2019-04-05	10
2047	175	9	2018-09-23	5
2048	192	9	2019-03-12	9
2049	288	9	2018-05-17	6
2050	111	9	2018-05-02	9
2051	320	9	2018-10-30	10
2052	194	9	2018-05-18	5
2053	310	9	2019-05-24	3
2054	40	9	2018-07-22	8
2055	244	9	2018-06-13	3
2056	98	9	2018-12-13	10
2057	247	9	2018-05-11	6
2058	195	9	2018-10-27	10
2059	102	9	2019-01-13	6
2060	170	9	2018-06-05	6
2061	181	9	2019-02-22	8
2062	223	9	2019-01-22	3
2063	12	9	2018-11-17	7
2064	291	9	2018-09-21	1
2065	178	9	2019-03-24	4
2066	265	9	2019-02-11	7
2067	258	9	2018-05-22	1
2068	267	9	2018-10-15	10
2069	174	9	2018-05-01	7
2070	1	9	2018-11-19	8
2071	20	9	2018-11-08	6
2072	285	9	2018-12-23	9
2073	264	9	2018-12-03	7
2074	238	9	2019-04-27	6
2075	94	9	2018-10-31	8
2076	282	9	2018-11-24	10
2077	269	9	2018-08-01	7
2078	177	9	2019-01-04	1
2079	294	9	2018-08-13	2
2080	235	9	2018-09-13	2
2081	66	9	2019-01-22	7
2082	300	9	2018-07-16	3
2083	105	9	2019-01-29	10
2084	77	9	2019-05-06	4
2085	146	9	2019-05-07	1
2086	81	9	2018-11-03	9
2087	32	9	2019-04-19	5
2088	74	9	2019-01-16	1
2089	287	9	2018-11-21	4
2090	62	9	2019-02-02	7
2091	180	9	2018-08-17	5
2092	95	9	2018-12-10	10
2093	210	9	2018-05-10	5
2094	255	9	2019-02-05	4
2095	314	9	2019-02-24	5
2096	249	9	2018-05-10	10
2097	115	9	2019-03-27	5
2098	31	9	2018-08-17	2
2099	15	9	2019-02-13	10
2100	135	9	2018-11-28	9
2101	101	9	2018-05-30	9
2102	272	9	2018-04-23	10
2103	280	9	2019-02-04	1
2104	134	9	2018-09-09	3
2105	84	9	2018-08-25	2
2106	203	9	2018-07-03	2
2107	7	9	2019-03-13	9
2108	153	9	2019-01-11	5
2109	24	9	2019-03-12	5
2110	190	9	2018-09-23	4
2111	277	9	2019-02-13	4
2112	200	9	2018-07-22	3
2113	202	9	2018-11-02	9
2114	117	9	2019-03-08	1
2115	34	9	2018-09-22	9
2116	226	9	2018-10-24	3
2117	270	9	2019-01-08	5
2118	301	9	2018-11-15	6
2119	54	9	2018-09-21	3
2120	275	9	2018-09-19	3
2121	160	9	2018-12-21	7
2122	295	9	2019-01-19	10
2123	266	9	2018-05-02	3
2124	69	9	2019-01-19	4
2125	185	9	2018-11-29	9
2126	204	9	2018-05-16	7
2127	230	9	2019-02-28	1
2128	151	9	2019-03-11	2
2129	152	9	2019-01-14	10
2130	156	9	2018-05-25	4
2131	114	9	2018-09-29	2
2132	208	9	2018-05-15	8
2133	188	9	2018-10-28	10
2134	145	9	2018-06-23	1
2135	221	9	2018-10-03	1
2136	312	9	2019-05-25	7
2137	209	9	2018-11-25	3
2138	306	9	2019-01-16	5
2139	49	9	2018-12-22	4
2140	173	9	2019-03-26	3
2141	136	9	2018-08-24	7
2142	72	9	2018-05-21	7
2143	88	9	2018-11-26	8
2144	315	9	2018-10-18	3
2145	237	9	2018-07-19	6
2146	79	9	2018-06-11	3
2147	222	9	2018-06-02	7
2148	63	9	2018-05-29	10
2149	126	9	2018-07-05	10
2150	124	9	2019-05-09	5
2151	96	9	2018-06-18	10
2152	93	9	2019-04-08	1
2153	38	9	2018-08-18	1
2154	257	9	2018-09-10	1
2155	107	9	2018-06-16	10
2156	278	9	2018-10-13	1
2157	155	9	2018-07-22	8
2158	46	9	2018-05-25	1
2159	197	9	2018-10-26	6
2160	130	9	2018-09-07	7
2161	128	9	2019-01-02	7
2162	28	9	2019-04-14	2
2163	304	9	2018-05-10	3
2164	215	9	2018-07-23	6
2165	199	9	2018-08-07	6
2166	11	9	2018-05-04	5
2167	196	9	2018-07-25	7
2168	227	9	2018-09-03	9
2169	168	9	2019-02-08	1
2170	89	9	2018-06-30	1
2171	127	9	2018-08-11	6
2172	213	9	2019-04-07	4
2173	51	9	2018-06-20	1
2174	5	9	2018-05-28	10
2175	75	9	2018-05-25	6
2176	157	9	2018-06-10	2
2177	60	9	2018-10-17	1
2178	68	9	2018-11-01	3
2179	148	9	2018-10-23	4
2180	284	9	2018-11-27	8
2181	119	9	2018-05-04	5
2182	106	9	2018-12-16	3
2183	108	9	2018-10-10	4
2184	103	9	2018-10-08	9
2185	13	9	2019-01-07	3
2186	57	9	2018-05-28	3
2187	245	9	2018-11-26	7
2188	2	9	2018-05-11	5
2189	268	9	2018-09-23	10
2190	212	9	2018-04-25	9
2191	253	9	2018-09-08	9
2192	260	9	2018-05-01	6
2193	133	9	2018-11-05	9
2194	242	9	2018-12-19	9
2195	298	9	2019-01-15	7
2196	144	9	2018-12-10	10
2197	113	9	2019-02-16	8
2198	296	9	2018-10-13	7
2199	319	9	2019-02-25	10
2200	311	9	2019-05-02	7
2201	239	9	2018-06-03	4
2202	214	9	2019-01-24	4
2203	232	9	2019-03-11	7
2204	205	9	2018-11-24	1
2205	289	9	2018-06-23	3
2206	158	9	2019-04-23	3
2207	302	9	2019-03-03	1
2208	123	9	2019-03-12	6
2209	154	9	2018-11-11	4
2210	318	9	2018-08-11	4
2211	161	9	2018-07-04	9
2212	211	9	2018-07-14	1
2213	231	9	2018-08-16	2
2214	171	9	2019-01-12	2
2215	92	9	2018-11-07	5
2216	313	9	2018-08-15	7
2217	279	9	2018-06-26	1
2218	78	9	2018-11-12	2
2219	234	9	2019-03-21	5
2220	147	9	2019-01-03	10
2221	308	9	2018-08-29	4
2222	159	9	2019-05-23	8
2223	43	9	2019-04-22	7
2224	317	9	2018-12-09	1
2225	206	9	2018-07-04	9
2226	236	9	2018-12-20	7
2227	143	9	2019-02-03	8
2228	97	9	2018-10-05	10
2229	100	9	2018-06-26	1
2230	243	9	2018-08-18	6
2231	283	9	2018-08-08	10
2232	48	9	2019-04-12	8
2233	14	9	2018-07-25	9
2234	18	9	2018-07-01	1
2235	220	9	2018-06-11	2
2236	104	9	2018-12-09	10
2237	305	9	2019-03-02	8
2238	186	9	2018-05-16	7
2239	116	9	2018-05-24	9
2240	4	9	2018-09-26	1
2241	19	9	2018-11-29	3
2242	112	9	2019-03-29	8
2243	262	9	2019-01-28	3
2244	64	9	2018-09-02	4
2245	281	9	2018-09-12	6
2246	165	9	2018-07-01	5
2247	109	9	2019-05-10	7
2248	91	9	2019-04-06	10
2249	162	9	2018-12-09	9
2250	58	9	2018-10-06	6
2251	307	9	2018-05-22	6
2252	169	9	2019-03-07	5
2253	56	9	2019-01-20	1
2254	125	9	2019-02-05	9
2255	90	9	2018-08-03	10
2256	293	9	2018-05-10	3
2257	250	9	2019-01-29	3
2258	120	9	2018-08-30	1
2259	44	9	2019-04-15	3
2260	182	9	2019-05-18	8
2261	183	9	2019-02-24	6
2262	139	9	2019-01-24	10
2263	70	9	2018-04-26	7
2264	67	9	2018-11-15	8
2265	166	9	2018-05-02	9
2266	110	9	2018-07-12	6
2267	82	9	2018-09-20	2
2268	246	9	2019-04-04	8
2269	189	9	2018-09-04	1
2270	179	9	2018-08-28	9
2271	53	9	2018-05-18	4
2272	228	9	2019-01-13	8
2273	251	9	2018-05-28	3
2274	286	9	2019-03-06	3
2275	118	9	2018-09-25	2
2276	22	9	2019-01-29	6
2277	218	9	2018-12-18	2
2278	137	9	2018-10-04	8
2279	55	9	2019-03-06	2
2280	30	9	2018-08-25	9
2281	240	9	2018-09-28	7
2282	111	10	2018-07-28	1
2283	49	10	2018-08-26	8
2284	1	10	2019-04-04	4
2285	56	10	2018-07-24	8
2286	249	10	2019-02-15	1
2287	292	10	2018-07-10	6
2288	70	10	2018-10-30	7
2289	241	10	2018-08-15	2
2290	180	10	2019-02-12	1
2291	212	10	2018-07-18	4
2292	18	10	2018-06-15	3
2293	285	10	2018-12-14	4
2294	64	10	2018-07-19	6
2295	140	10	2018-05-13	5
2296	240	10	2018-10-31	8
2297	230	10	2018-07-12	9
2298	90	10	2018-10-22	7
2299	44	10	2018-10-14	9
2300	284	10	2018-07-08	7
2301	176	10	2018-09-23	10
2302	214	10	2019-01-26	2
2303	287	10	2018-09-01	3
2304	127	10	2018-07-13	1
2305	100	10	2018-06-29	9
2306	312	10	2018-06-20	9
2307	144	10	2018-04-26	4
2308	72	10	2019-04-05	6
2309	50	10	2018-08-31	10
2310	106	10	2018-09-04	1
2311	286	10	2019-04-03	8
2312	19	10	2018-08-24	1
2313	246	10	2018-08-01	1
2314	217	10	2019-03-25	6
2315	61	10	2019-04-09	10
2316	265	10	2019-03-06	4
2317	76	10	2018-11-01	8
2318	4	10	2018-05-15	5
2319	148	10	2018-06-17	5
2320	234	10	2018-09-11	6
2321	208	10	2019-02-08	5
2322	179	10	2018-10-25	3
2323	174	10	2019-02-17	3
2324	66	10	2019-04-26	5
2325	11	10	2018-12-02	7
2326	151	10	2018-07-27	9
2327	297	10	2018-04-29	7
2328	17	10	2018-06-27	2
2329	215	10	2018-07-25	6
2330	164	10	2019-02-26	1
2331	107	10	2018-05-09	8
2332	218	10	2019-05-02	4
2333	262	10	2018-08-15	3
2334	104	10	2018-07-08	1
2335	63	10	2018-09-08	6
2336	233	10	2019-03-07	5
2337	302	10	2019-04-03	7
2338	165	10	2018-07-18	9
2339	178	10	2018-08-30	1
2340	39	10	2019-04-19	5
2341	139	10	2019-05-07	6
2342	128	10	2018-12-19	3
2343	146	10	2018-11-25	5
2344	2	10	2019-01-08	7
2345	142	10	2018-07-11	3
2346	172	10	2018-07-14	3
2347	131	10	2018-09-25	3
2348	235	10	2019-03-20	1
2349	85	10	2018-05-23	2
2350	169	10	2018-06-05	1
2351	271	10	2019-01-29	7
2352	153	10	2018-07-16	6
2353	237	10	2018-12-01	1
2354	264	10	2018-07-30	3
2355	143	10	2019-03-13	8
2356	209	10	2018-12-17	8
2357	318	10	2018-07-26	1
2358	6	10	2019-05-02	7
2359	22	10	2018-07-24	10
2360	238	10	2019-04-04	6
2361	245	10	2018-06-28	3
2362	242	10	2018-07-18	7
2363	206	10	2018-11-29	9
2364	295	10	2018-09-20	1
2365	224	10	2019-05-04	8
2366	101	10	2018-08-03	5
2367	95	10	2018-06-19	2
2368	252	10	2018-11-15	9
2369	257	10	2018-10-16	9
2370	37	10	2018-10-02	4
2371	136	10	2018-12-18	10
2372	305	10	2018-10-22	9
2373	27	10	2019-04-08	6
2374	58	10	2019-05-08	6
2375	115	10	2019-01-12	7
2376	185	10	2018-10-18	9
2377	154	10	2019-04-24	9
2378	73	10	2019-01-16	10
2379	9	10	2018-07-07	1
2380	177	10	2018-06-19	4
2381	282	10	2018-12-20	6
2382	38	10	2019-02-11	4
2383	55	10	2019-03-01	9
2384	46	10	2019-01-11	6
2385	173	10	2019-04-25	8
2386	272	10	2019-04-28	10
2387	201	10	2019-05-22	7
2388	7	10	2018-11-02	3
2389	163	10	2018-08-15	4
2390	205	10	2019-04-23	7
2391	170	10	2018-10-05	5
2392	219	10	2019-04-29	10
2393	288	10	2019-03-10	5
2394	114	10	2018-06-30	9
2395	199	10	2018-05-30	5
2396	175	10	2019-02-07	8
2397	280	10	2019-04-06	4
2398	94	10	2018-10-17	2
2399	32	10	2018-11-17	1
2400	186	10	2019-01-03	7
2401	75	10	2018-09-26	1
2402	167	10	2018-08-14	10
2403	105	10	2018-12-25	6
2404	14	10	2019-01-01	5
2405	184	10	2018-07-18	6
2406	279	10	2018-08-05	2
2407	99	10	2018-05-08	3
2408	181	10	2018-07-20	6
2409	236	10	2019-02-10	6
2410	216	10	2018-11-20	3
2411	273	10	2018-06-19	3
2412	103	10	2018-08-17	5
2413	303	10	2018-11-21	3
2414	86	10	2018-10-23	7
2415	51	10	2018-11-28	5
2416	266	10	2019-01-23	9
2417	110	10	2019-02-25	2
2418	78	10	2019-02-03	5
2419	270	10	2019-05-06	8
2420	255	10	2018-11-08	10
2421	166	10	2018-09-15	4
2422	5	10	2018-06-24	9
2423	26	10	2019-02-22	10
2424	81	10	2019-03-19	2
2425	34	10	2019-04-08	1
2426	57	10	2018-06-30	1
2427	145	10	2019-03-17	1
2428	25	10	2018-08-25	10
2429	291	10	2019-05-05	4
2430	117	10	2019-05-12	6
2431	60	10	2018-11-11	4
2432	47	10	2019-03-30	8
2433	203	10	2018-11-28	1
2434	188	10	2018-08-30	1
2435	141	10	2018-10-07	6
2436	250	10	2019-02-25	6
2437	171	10	2019-01-09	9
2438	109	10	2018-07-19	1
2439	31	10	2019-04-23	10
2440	108	10	2019-04-22	5
2441	243	10	2018-11-15	9
2442	317	10	2018-10-22	9
2443	12	10	2018-05-25	9
2444	88	10	2018-09-15	5
2445	259	10	2019-01-19	2
2446	228	10	2018-06-13	7
2447	160	10	2018-04-23	8
2448	300	10	2018-07-17	10
2449	96	10	2018-06-18	6
2450	207	10	2018-09-21	4
2451	87	10	2019-05-08	10
2452	53	10	2018-11-08	6
2453	191	10	2018-12-30	3
2454	16	10	2019-04-10	5
2455	43	10	2018-11-24	2
2456	276	10	2019-02-10	10
2457	156	10	2019-04-10	4
2458	227	10	2019-04-23	4
2459	137	10	2018-12-17	1
2460	168	10	2018-04-22	1
2461	311	10	2018-12-20	6
2462	220	10	2018-08-07	5
2463	162	10	2018-09-29	8
2464	13	10	2019-01-14	1
2465	204	10	2019-05-06	8
2466	229	10	2018-06-25	9
2467	225	10	2019-01-29	10
2468	263	10	2018-11-05	7
2469	196	10	2018-10-12	5
2470	222	10	2019-01-13	6
2471	260	10	2019-04-12	3
2472	293	10	2019-02-07	6
2473	190	10	2018-07-30	10
2474	253	10	2019-04-29	8
2475	69	10	2018-09-04	1
2476	226	10	2019-02-24	9
2477	123	10	2018-04-29	10
2478	30	10	2019-01-18	8
2479	277	10	2018-09-15	5
2480	239	10	2018-05-25	9
2481	89	10	2018-09-13	2
2482	97	10	2018-05-07	6
2483	161	10	2019-03-23	8
2484	124	10	2019-02-11	1
2485	36	10	2018-08-07	2
2486	213	10	2018-10-15	7
2487	195	10	2019-04-01	9
2488	93	10	2019-01-03	10
2489	319	10	2018-07-13	6
2490	45	10	2019-03-28	7
2491	67	10	2019-01-21	3
2492	35	10	2018-09-16	2
2493	112	10	2018-12-26	6
2494	313	10	2018-11-21	4
2495	244	10	2018-05-16	8
2496	132	10	2018-10-23	3
2497	308	10	2018-06-09	6
2498	268	10	2019-04-06	4
2499	269	10	2018-05-08	5
2500	138	10	2019-02-18	8
2501	221	10	2018-05-28	6
2502	247	10	2018-09-14	4
2503	267	10	2019-04-03	4
2504	52	10	2018-12-16	9
2505	42	10	2018-06-27	9
2506	125	10	2019-05-20	4
2507	301	10	2018-10-08	3
2508	147	10	2019-04-06	4
2509	278	10	2018-08-27	2
2510	71	10	2018-09-26	5
2511	231	10	2018-07-28	2
2512	314	10	2018-04-23	6
2513	198	10	2018-11-12	5
2514	258	10	2018-04-24	5
2515	48	10	2019-03-25	7
2516	193	10	2019-02-12	3
2517	310	10	2018-06-03	5
2518	120	10	2019-04-26	5
2519	281	10	2018-05-08	10
2520	102	10	2018-04-23	4
2521	54	10	2018-08-01	3
2522	200	10	2018-08-16	6
2523	135	10	2018-08-04	6
2524	62	10	2018-07-05	10
2525	182	10	2018-06-13	2
2526	41	10	2018-08-13	9
2527	134	10	2018-10-07	5
2528	23	10	2019-01-04	7
2529	316	10	2018-11-19	9
2530	98	10	2018-06-25	5
2531	155	10	2018-06-05	1
2532	29	10	2018-08-12	10
2533	189	10	2019-01-19	10
2534	33	10	2019-01-27	9
2535	251	10	2019-04-17	10
2536	299	10	2018-10-19	7
2537	91	10	2019-04-30	9
2538	92	10	2019-03-23	3
2539	83	11	2018-06-19	5
2540	158	11	2018-06-05	7
2541	86	11	2019-03-27	6
2542	108	11	2018-09-25	4
2543	196	11	2019-01-28	4
2544	116	11	2019-03-15	9
2545	104	11	2019-04-16	2
2546	163	11	2018-06-23	2
2547	130	11	2018-11-16	9
2548	5	11	2019-02-20	5
2549	133	11	2019-05-11	2
2550	316	11	2018-06-09	3
2551	219	11	2018-06-13	6
2552	67	11	2018-11-25	2
2553	50	11	2018-06-17	8
2554	262	11	2018-10-21	9
2555	70	11	2019-01-18	1
2556	4	11	2019-01-30	2
2557	33	11	2019-03-20	8
2558	220	11	2019-03-03	4
2559	240	11	2018-06-14	4
2560	305	11	2018-08-19	2
2561	29	11	2018-07-26	2
2562	114	11	2018-11-06	3
2563	247	11	2019-03-15	3
2564	290	11	2018-09-24	10
2565	59	11	2019-02-26	5
2566	74	11	2018-06-03	3
2567	57	11	2018-07-10	10
2568	1	11	2019-04-30	9
2569	76	11	2018-12-30	3
2570	295	11	2018-10-19	10
2571	111	11	2018-05-08	6
2572	200	11	2018-06-05	2
2573	36	11	2018-10-11	9
2574	167	11	2018-06-21	5
2575	192	11	2018-12-16	8
2576	299	11	2019-01-19	4
2577	274	11	2018-11-08	6
2578	185	11	2018-11-11	4
2579	211	11	2018-12-26	1
2580	97	11	2018-05-05	7
2581	223	11	2019-02-11	8
2582	257	11	2019-03-30	6
2583	19	11	2018-07-23	2
2584	191	11	2019-04-11	3
2585	237	11	2018-08-12	10
2586	203	11	2018-07-08	6
2587	100	11	2019-05-09	2
2588	201	11	2018-09-09	2
2589	136	11	2019-05-02	4
2590	271	11	2018-12-06	10
2591	148	11	2018-07-10	3
2592	156	11	2019-04-25	4
2593	231	11	2018-07-15	3
2594	312	11	2018-04-29	6
2595	107	11	2018-08-29	9
2596	123	11	2018-05-19	6
2597	14	11	2018-07-06	2
2598	281	11	2018-05-12	5
2599	37	11	2019-05-05	8
2600	206	11	2018-10-11	10
2601	46	11	2018-04-25	1
2602	153	11	2018-06-19	9
2603	84	11	2018-09-14	9
2604	134	11	2019-04-08	8
2605	180	11	2018-05-26	4
2606	31	11	2018-06-16	10
2607	7	11	2019-01-16	4
2608	311	11	2018-10-29	9
2609	289	11	2018-09-02	7
2610	21	11	2018-11-27	8
2611	159	11	2018-11-25	4
2612	166	11	2019-05-16	1
2613	113	11	2019-01-12	1
2614	282	11	2019-04-06	5
2615	252	11	2019-02-26	6
2616	162	11	2018-10-05	3
2617	139	11	2018-10-18	5
2618	79	11	2018-12-11	9
2619	30	11	2018-08-25	3
2620	16	11	2018-06-19	8
2621	279	11	2019-02-20	6
2622	288	11	2019-04-22	6
2623	54	11	2019-03-26	3
2624	27	11	2018-05-05	7
2625	172	11	2019-01-05	3
2626	109	11	2019-02-13	1
2627	174	11	2018-08-13	3
2628	216	11	2018-06-29	2
2629	47	11	2019-03-18	7
2630	276	11	2018-10-26	9
2631	184	11	2018-10-01	1
2632	152	11	2018-10-09	5
2633	18	11	2019-01-12	6
2634	228	11	2018-12-22	5
2635	115	11	2019-05-23	8
2636	212	11	2018-07-29	2
2637	230	11	2018-05-18	6
2638	210	11	2019-04-27	2
2639	266	11	2019-04-26	1
2640	278	11	2019-04-23	3
2641	260	11	2018-05-26	2
2642	181	11	2018-07-07	1
2643	303	11	2019-03-27	4
2644	250	11	2019-05-23	10
2645	129	11	2018-10-08	2
2646	68	11	2019-02-27	4
2647	244	11	2018-11-23	4
2648	24	11	2018-07-17	5
2649	103	11	2018-12-25	5
2650	296	11	2019-05-08	5
2651	246	11	2018-08-23	7
2652	175	11	2018-07-10	6
2653	9	11	2019-03-10	3
2654	10	11	2019-03-16	4
2655	317	11	2018-11-08	6
2656	32	11	2018-08-18	1
2657	270	11	2019-01-29	10
2658	236	11	2018-10-29	7
2659	38	11	2018-05-04	9
2660	238	11	2018-05-01	6
2661	71	11	2019-04-09	1
2662	22	11	2018-08-20	5
2663	56	11	2018-12-26	10
2664	157	11	2018-12-14	7
2665	259	11	2019-02-16	6
2666	128	11	2019-02-07	2
2667	217	11	2019-05-18	5
2668	304	11	2018-11-15	6
2669	8	11	2018-09-30	6
2670	306	11	2018-07-16	9
2671	122	11	2018-05-09	6
2672	135	11	2018-06-18	4
2673	165	11	2019-02-06	5
2674	190	11	2018-08-29	6
2675	151	11	2019-05-07	6
2676	142	11	2018-05-29	10
2677	63	11	2019-03-14	6
2678	132	11	2019-02-24	7
2679	52	11	2018-12-15	9
2680	205	11	2018-08-13	7
2681	121	11	2018-11-23	7
2682	28	11	2018-06-23	5
2683	314	11	2018-09-21	10
2684	94	11	2019-01-11	2
2685	171	11	2018-05-19	2
2686	268	11	2018-08-31	7
2687	275	11	2019-04-18	3
2688	110	11	2018-06-06	5
2689	119	11	2019-03-15	3
2690	241	11	2019-03-29	6
2691	189	11	2019-01-06	7
2692	300	11	2019-01-06	7
2693	6	11	2018-11-08	4
2694	272	11	2019-04-19	9
2695	69	11	2019-03-05	4
2696	253	11	2018-09-22	9
2697	124	11	2018-11-26	5
2698	267	11	2018-06-27	2
2699	258	11	2019-03-09	6
2700	187	11	2018-10-03	7
2701	141	11	2018-12-30	3
2702	265	11	2019-04-10	10
2703	48	11	2018-08-13	7
2704	25	11	2018-08-11	1
2705	285	11	2018-08-11	4
2706	51	11	2018-05-11	4
2707	55	11	2019-04-06	2
2708	85	11	2018-07-09	6
2709	302	11	2018-08-24	4
2710	177	11	2018-04-27	1
2711	160	11	2018-07-02	9
2712	13	11	2019-04-25	3
2713	87	11	2019-04-11	4
2714	145	11	2018-10-13	6
2715	112	11	2018-11-01	2
2716	182	11	2018-07-21	6
2717	286	11	2018-10-10	2
2718	320	11	2018-11-06	3
2719	229	11	2019-05-10	3
2720	66	11	2018-09-19	7
2721	75	11	2019-03-31	4
2722	204	11	2018-09-20	4
2723	186	11	2018-09-07	5
2724	73	11	2019-05-05	3
2725	144	11	2019-03-19	1
2726	248	11	2018-10-03	2
2727	137	11	2019-04-12	9
2728	179	11	2019-05-13	7
2729	81	11	2018-05-23	3
2730	319	11	2018-09-27	9
2731	12	11	2019-04-10	7
2732	287	11	2018-05-06	9
2733	232	11	2019-02-19	5
2734	242	11	2018-11-05	1
2735	43	11	2018-09-23	8
2736	199	11	2018-07-01	6
2737	45	11	2018-04-28	7
2738	77	11	2018-08-09	5
2739	195	11	2018-12-18	10
2740	301	11	2018-09-17	1
2741	283	11	2018-08-20	4
2742	89	11	2019-01-12	7
2743	280	11	2018-06-07	3
2744	255	11	2018-08-22	5
2745	193	11	2018-07-13	6
2746	291	11	2019-02-03	8
2747	222	11	2018-05-04	7
2748	307	11	2018-05-10	7
2749	294	11	2018-10-12	2
2750	143	11	2018-10-28	3
2751	3	11	2019-04-27	2
2752	82	11	2018-05-11	10
2753	202	11	2019-03-07	6
2754	176	11	2019-04-01	2
2755	226	11	2019-01-17	5
2756	251	11	2018-11-24	9
2757	146	11	2018-11-14	8
2758	264	11	2019-02-11	7
2759	194	11	2018-08-05	8
2760	183	11	2018-12-18	2
2761	277	11	2018-08-09	9
2762	214	11	2019-02-08	9
2763	209	11	2019-01-07	4
2764	64	11	2018-10-19	4
2765	221	11	2018-05-02	3
2766	101	11	2018-06-23	6
2767	245	11	2019-02-16	10
2768	168	11	2019-03-26	4
2769	215	11	2019-01-10	9
2770	42	11	2018-06-22	7
2771	96	11	2018-12-09	1
2772	95	11	2018-08-29	5
2773	161	11	2019-03-27	7
2774	243	11	2018-11-08	4
2775	131	11	2018-12-04	7
2776	292	11	2018-11-18	3
2777	93	11	2018-04-22	3
2778	225	11	2019-05-03	9
2779	315	11	2018-06-05	8
2780	78	11	2019-02-26	7
2781	35	11	2018-06-02	3
2782	227	11	2019-05-16	7
2783	90	11	2019-04-20	9
2784	26	11	2019-02-01	3
2785	98	11	2019-05-19	6
2786	249	11	2018-07-07	9
2787	80	11	2018-09-07	3
2788	273	11	2019-04-03	6
2789	88	11	2018-12-25	8
2790	99	11	2018-12-02	10
2791	15	11	2018-08-16	7
2792	91	11	2018-05-18	9
2793	169	11	2019-04-15	5
2794	23	11	2018-08-11	10
2795	53	11	2018-07-02	6
2796	118	12	2019-04-28	6
2797	6	12	2019-01-28	7
2798	205	12	2019-04-30	10
2799	86	12	2019-03-19	7
2800	12	12	2019-03-15	2
2801	115	12	2018-12-15	6
2802	262	12	2018-10-27	7
2803	238	12	2018-07-09	5
2804	49	12	2018-05-08	5
2805	68	12	2018-11-29	8
2806	137	12	2019-02-11	3
2807	270	12	2019-01-27	1
2808	40	12	2018-10-12	10
2809	196	12	2019-05-09	6
2810	272	12	2018-12-02	10
2811	87	12	2019-04-07	2
2812	154	12	2018-05-12	7
2813	140	12	2018-04-28	9
2814	252	12	2018-07-21	3
2815	301	12	2018-10-11	10
2816	143	12	2018-08-13	5
2817	17	12	2019-04-23	3
2818	251	12	2019-01-24	5
2819	158	12	2019-02-28	2
2820	63	12	2018-12-21	4
2821	80	12	2018-05-20	9
2822	254	12	2019-04-17	9
2823	79	12	2019-04-15	6
2824	38	12	2018-05-03	10
2825	125	12	2019-02-14	6
2826	295	12	2019-03-16	6
2827	83	12	2018-11-13	7
2828	33	12	2018-11-14	6
2829	157	12	2019-04-04	4
2830	30	12	2019-02-08	1
2831	105	12	2019-01-03	1
2832	126	12	2018-05-04	4
2833	99	12	2018-09-20	9
2834	315	12	2019-04-01	3
2835	271	12	2019-03-25	2
2836	71	12	2018-10-15	6
2837	215	12	2019-02-13	4
2838	11	12	2018-06-08	1
2839	261	12	2018-08-10	8
2840	44	12	2018-10-30	4
2841	268	12	2018-10-13	6
2842	298	12	2019-03-22	2
2843	240	12	2019-03-10	6
2844	289	12	2018-10-01	10
2845	307	12	2018-07-03	2
2846	10	12	2018-04-28	7
2847	5	12	2019-04-19	7
2848	312	12	2018-05-13	1
2849	239	12	2018-07-26	2
